ФК	Плю	Матрица	Уровень ассортимента TCX	Уровень ассортимента TC5	Рег.цена	Цена промо
G1	4174481	Все магазины	УА15	УА4	500	200
G1	3381089	Все магазины	УА15	УА4	500	200
G1	4072127	Все магазины	УА15	УА4	500	200
G1	4332632	Все магазины	УА15	УА4	500	200
G1	3472968	Все магазины	УА15	УА4	500	200
G1	4363549	Все магазины	УА15	УА4	500	200
G1	11465	Все магазины	УА15	УА4	500	200
G1	4345041	Все магазины	УА15	УА4	500	200
G1	3653011	Все магазины	УА15	УА4	500	200
G1	4289529	Все магазины	УА15	УА4	500	200
G1	4240824	Все магазины	УА15	УА4	500	200
G1	4332737	Все магазины	УА15	УА4	500	200
G1	4243876	Все магазины	УА15	УА4	500	200
G1	4039758	Все магазины	УА15	УА4	500	200
G1	3221983	Все магазины	УА15	УА4	500	200
G1	4262474	Все магазины	УА15	УА4	500	200
G1	3958355	Все магазины	УА15	УА4	500	200
G1	4296166	Все магазины	УА15	УА4	500	200
G1	3437486	Все магазины	УА15	УА4	500	200
G1	3406737	Все магазины	УА15	УА4	500	200
G1	3683403	Все магазины	УА15	УА4	500	200
G1	3504960	Все магазины	УА15	УА4	500	200
G1	3985132	Все магазины	УА15	УА4	500	200
G1	4007767	Все магазины	УА15	УА4	500	200
G1	3653014	Все магазины	УА15	УА4	500	200
G1	4351476	Все магазины	УА15	УА4	500	200
G1	4289660	Все магазины	УА15	УА4	500	200
G1	4238978	Все магазины	УА15	УА4	500	200
G1	3408658	Все магазины	УА15	УА4	500	200
G1	4126131	Все магазины	УА15	УА4	500	200
G1	4384176	Все магазины	УА15	УА4	500	200
G1	3610358	Все магазины	УА15	УА4	500	200
G1	3971898	Все магазины	УА15	УА4	500	200
G1	4350427	Все магазины	УА15	УА4	500	200
G1	4183433	Все магазины	УА15	УА4	500	200
G1	3030130	Все магазины	УА15	УА4	500	200
G1	4138191	Все магазины	УА15	УА4	500	200
G1	3695469	Все магазины	УА15	УА4	500	200
G1	4058634	Все магазины	УА15	УА4	500	200
G1	4122752	Все магазины	УА15	УА4	500	200
G1	4121660	Все магазины	УА15	УА4	500	200
G1	3963581	Все магазины	УА15	УА4	500	200
G1	3432428	Все магазины	УА15	УА4	500	200
G1	93771	Все магазины	УА15	УА4	500	200
G1	3353396	Все магазины	УА15	УА4	500	200
G1	4374354	Все магазины	УА15	УА4	500	200
G1	4357476	Все магазины	УА15	УА4	500	200
G1	3207182	Все магазины	УА15	УА4	500	200
G1	4281477	Все магазины	УА15	УА4	500	200
G1	3368141	Все магазины	УА15	УА4	500	200
G1	45686	Все магазины	УА15	УА4	500	200
G1	4174488	Все магазины	УА15	УА4	500	200
G1	3496293	Все магазины	УА15	УА4	500	200
G1	4140410	Все магазины	УА15	УА4	500	200
G1	3632105	Все магазины	УА15	УА4	500	200
G1	3025531	Все магазины	УА15	УА4	500	200
G1	4307722	Все магазины	УА15	УА4	500	200
G1	3324753	Все магазины	УА15	УА4	500	200
G1	3955798	Все магазины	УА15	УА4	500	200
G1	3498074	Все магазины	УА15	УА4	500	200
G1	3627631	Все магазины	УА15	УА4	500	200
G1	4178284	Все магазины	УА15	УА4	500	200
G1	4255155	Все магазины	УА15	УА4	500	200
G1	3695470	Все магазины	УА15	УА4	500	200
G1	4261907	Все магазины	УА15	УА4	500	200
G1	4047282	Все магазины	УА15	УА4	500	200
G1	3222004	Все магазины	УА15	УА4	500	200
G1	4240780	Все магазины	УА15	УА4	500	200
G1	4345478	Все магазины	УА15	УА4	500	200
G1	3604270	Все магазины	УА15	УА4	500	200
G1	35510	Все магазины	УА15	УА4	500	200
G1	4178289	Все магазины	УА15	УА4	500	200
G1	18624	Все магазины	УА15	УА4	500	200
G1	4240811	Все магазины	УА15	УА4	500	200
G1	51590	Все магазины	УА15	УА4	500	200
G1	66231	Все магазины	УА15	УА4	500	200
G1	4174489	Все магазины	УА15	УА4	500	200
G1	4128608	Все магазины	УА15	УА4	500	200
G1	4138209	Все магазины	УА15	УА4	500	200
G1	3928181	Все магазины	УА15	УА4	500	200
G1	46757	Все магазины	УА15	УА4	500	200
G1	4298751	Все магазины	УА15	УА4	500	200
G1	4243842	Все магазины	УА15	УА4	500	200
G1	4092519	Все магазины	УА15	УА4	500	200
G1	78022621	Все магазины	УА15	УА4	500	200
G1	24793	Все магазины	УА15	УА4	500	200
G1	4345350	Все магазины	УА15	УА4	500	200
G1	87739	Все магазины	УА15	УА4	500	200
G1	4062709	Все магазины	УА15	УА4	500	200
G1	4213674	Все магазины	УА15	УА4	500	200
G1	68216	Все магазины	УА15	УА4	500	200
G1	30707	Все магазины	УА15	УА4	500	200
G1	4171683	Все магазины	УА15	УА4	500	200
G1	3146754	Все магазины	УА15	УА4	500	200
G1	4014691	Все магазины	УА15	УА4	500	200
G1	66221	Все магазины	УА15	УА4	500	200
G1	3605364	Все магазины	УА15	УА4	500	200
G1	4310736	Все магазины	УА15	УА4	500	200
G1	3303298	Все магазины	УА15	УА4	500	200
G1	51537	Все магазины	УА15	УА4	500	200
G1	3446490	Все магазины	УА15	УА4	500	200
G1	4291313	Все магазины	УА15	УА4	500	200
